,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
121,1.0,,,1.0,,,,,,,,1.0,2.0,4.0,3.0,,1.0,3.0,,8.0,14.0,1.0,2.0,,,,,,
191,5.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,5.0,1.0,1.0,5.0,10.0,,11.0,12.0,3.0,5.0,,,,,,
188,32.0,4.0,3.0,2.0,,12.0,,3.0,11.0,1.0,7.0,3.0,4.0,15.0,8.0,5.0,15.0,16.0,,29.0,52.0,4.0,14.0,,,,,,
5,70.0,9.0,26.0,5.0,2.0,19.0,,1.0,16.0,6.0,15.0,7.0,3.0,29.0,9.0,6.0,19.0,22.0,1.0,49.0,84.0,18.0,44.0,1.0,,,,,
129,38.0,6.0,22.0,16.0,3.0,18.0,,3.0,13.0,3.0,17.0,19.0,4.0,30.0,7.0,7.0,9.0,19.0,4.0,31.0,54.0,33.0,34.0,1.0,,,,,
49,22.0,2.0,8.0,,,2.0,,,5.0,4.0,1.0,2.0,,6.0,,1.0,2.0,8.0,,13.0,21.0,1.0,9.0,,,,,,
173,11.0,,3.0,,,,,,2.0,4.0,1.0,,,8.0,,,2.0,4.0,,6.0,10.0,2.0,4.0,,,,,,
202,2.0,,1.0,,,1.0,,,1.0,,2.0,1.0,3.0,2.0,4.0,1.0,,2.0,1.0,9.0,11.0,4.0,2.0,,,,,,
131,30.0,29.0,114.0,17.0,18.0,54.0,,5.0,9.0,25.0,24.0,22.0,14.0,44.0,9.0,63.0,8.0,15.0,7.0,20.0,41.0,35.0,14.0,1.0,,,,,
120,2.0,1.0,2.0,,,1.0,,,2.0,,5.0,2.0,3.0,4.0,,,1.0,3.0,2.0,4.0,6.0,2.0,2.0,,,,,,
87,1.0,,,,,,,,,,,,2.0,,,,,,1.0,1.0,7.0,,1.0,,,,,,
207,2.0,,,1.0,,,,,,,,,3.0,5.0,5.0,,,1.0,,4.0,4.0,2.0,4.0,,,,,,
223,8.0,1.0,3.0,,1.0,2.0,,,2.0,,6.0,3.0,3.0,19.0,11.0,1.0,5.0,5.0,1.0,18.0,29.0,1.0,9.0,,,,,,
159,5.0,,3.0,,,,,1.0,1.0,,,,,,,1.0,2.0,1.0,,4.0,7.0,,,,,,,,
30,47.0,3.0,17.0,10.0,1.0,31.0,1.0,6.0,8.0,2.0,29.0,17.0,20.0,31.0,15.0,5.0,8.0,28.0,6.0,40.0,75.0,60.0,34.0,2.0,,,,,
21,35.0,20.0,68.0,18.0,11.0,63.0,1.0,5.0,16.0,21.0,27.0,32.0,12.0,66.0,7.0,49.0,7.0,23.0,6.0,15.0,68.0,37.0,31.0,2.0,,,,,
50,18.0,2.0,10.0,21.0,,29.0,,2.0,3.0,1.0,10.0,10.0,15.0,17.0,10.0,1.0,6.0,18.0,5.0,13.0,58.0,43.0,14.0,2.0,,,,,
166,1.0,1.0,1.0,1.0,,1.0,,,,,2.0,,9.0,6.0,2.0,,,1.0,,6.0,5.0,1.0,,2.0,,,,,
78,31.0,4.0,21.0,24.0,3.0,34.0,,3.0,11.0,5.0,24.0,20.0,27.0,37.0,10.0,5.0,6.0,30.0,4.0,36.0,87.0,50.0,34.0,3.0,,,,,
148,4.0,,,,,1.0,,3.0,,,4.0,,1.0,2.0,,,3.0,,,1.0,6.0,1.0,,,,,,,
9,49.0,13.0,33.0,10.0,7.0,43.0,,10.0,8.0,9.0,9.0,10.0,4.0,70.0,3.0,24.0,21.0,31.0,1.0,22.0,53.0,21.0,15.0,,,,,,
151,2.0,1.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,2.0,3.0,5.0,,1.0,,,,3.0,3.0,1.0,2.0,,,,,,
67,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
126,120.0,1.0,1.0,15.0,,27.0,,7.0,10.0,2.0,49.0,19.0,19.0,73.0,33.0,,51.0,80.0,4.0,104.0,281.0,83.0,89.0,1.0,,,,,
106,11.0,,6.0,12.0,,11.0,,,3.0,1.0,5.0,5.0,4.0,9.0,8.0,,4.0,15.0,5.0,5.0,27.0,27.0,11.0,,,,,,
15,18.0,2.0,10.0,,,13.0,,2.0,1.0,5.0,9.0,4.0,10.0,21.0,6.0,5.0,4.0,12.0,2.0,10.0,22.0,22.0,8.0,1.0,,,,,
66,14.0,,3.0,,,1.0,1.0,,,,1.0,,,3.0,2.0,,4.0,1.0,,10.0,11.0,,4.0,,,,,,
132,11.0,,,1.0,,,,1.0,1.0,,2.0,1.0,5.0,3.0,7.0,,6.0,5.0,2.0,8.0,21.0,1.0,4.0,,,,,,
57,32.0,1.0,13.0,16.0,,28.0,,4.0,2.0,2.0,15.0,9.0,13.0,24.0,12.0,9.0,15.0,20.0,10.0,8.0,58.0,41.0,18.0,,,,,,
102,11.0,,,,,,,1.0,1.0,,3.0,2.0,7.0,2.0,8.0,,3.0,3.0,3.0,6.0,15.0,2.0,6.0,,,,,,
83,18.0,1.0,6.0,,,3.0,1.0,4.0,2.0,2.0,8.0,2.0,6.0,10.0,9.0,1.0,5.0,7.0,3.0,16.0,21.0,3.0,8.0,,,,,,
216,1.0,,,,,1.0,,1.0,,,2.0,,,1.0,,1.0,,2.0,,2.0,4.0,2.0,1.0,,,,,,
118,11.0,1.0,4.0,19.0,,9.0,,2.0,1.0,5.0,10.0,9.0,8.0,24.0,1.0,7.0,4.0,16.0,,2.0,9.0,24.0,8.0,1.0,,,,,
