,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
116,,,,1.0,,,,,,,2.0,,1.0,,,,,,,,,5.0,,,,,,,
184,,,,1.0,,,,,,,,1.0,13.0,13.0,11.0,,,,,1.0,2.0,,,3.0,,,,,
32,,,,1.0,,,,,1.0,,6.0,,2.0,1.0,,,,,,,,,2.0,2.0,,,,,
211,,,,,1.0,,,,,,,1.0,1.0,2.0,1.0,,,,,2.0,2.0,2.0,,1.0,,,,,
201,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,3.0,,,,,,,
63,,,,,,,,,1.0,,1.0,2.0,,,,,,,,1.0,3.0,2.0,1.0,,,,,,
81,,,,,,,,,,,4.0,,,,,,1.0,,,1.0,1.0,4.0,,,,,,,
68,,,,,,,,,,,1.0,1.0,4.0,10.0,11.0,,,,,5.0,5.0,,2.0,,,,,,
209,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,4.0,,2.0,2.0,1.0,,,,,,,,1.0,,,,,,
103,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,
210,,,,,,,,,,,4.0,1.0,,,1.0,,,,,,2.0,3.0,,,,,,,
92,,,,,,,,,,,1.0,,,1.0,,,,,,,,6.0,,,,,,,
219,,,,,,,,,,,1.0,,4.0,4.0,7.0,,2.0,1.0,,2.0,9.0,,1.0,,,,,,
198,,,,,,,,,,,1.0,,,2.0,5.0,,,,,,5.0,,,,,,,,
77,,,,,,,,,,,2.0,2.0,,,1.0,,,,,1.0,2.0,,1.0,,,,,,
73,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,1.0,,,2.0,,,,,,,,2.0,,,,,,,
98,,,,,,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,
59,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,
46,,,,,,,,,,,6.0,,,,,,,,,,,1.0,,,,,,,
44,,,,,,,,,,,4.0,,,1.0,,,,,,,,3.0,,,,,,,
127,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,
170,,,,,,,,,,,2.0,,3.0,,4.0,,,,,1.0,19.0,,1.0,,,,,,
136,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,4.0,,,,,,,
156,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,1.0,1.0,,,2.0,,,,,,,
