,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
19,31.0,3.0,10.0,6.0,1.0,3.0,,4.0,7.0,2.0,12.0,2.0,5.0,21.0,16.0,3.0,3.0,10.0,5.0,17.0,36.0,4.0,4.0,,,,,,
60,2.0,,,1.0,,,,1.0,,,1.0,1.0,3.0,,1.0,,,,,,,,,1.0,,,,,
145,6.0,3.0,2.0,3.0,3.0,6.0,,2.0,2.0,5.0,8.0,3.0,2.0,5.0,1.0,3.0,2.0,3.0,,2.0,7.0,11.0,2.0,,,,,,
215,6.0,,,,,,,,,,6.0,,1.0,8.0,8.0,,,5.0,,14.0,24.0,,4.0,,,,,,
29,6.0,,,1.0,,2.0,,,,,5.0,,3.0,,5.0,,1.0,7.0,1.0,,15.0,1.0,,,,,,,
73,2.0,1.0,2.0,,,,,,,,1.0,,1.0,3.0,3.0,,,1.0,,2.0,6.0,1.0,,,,,,,
189,8.0,,,,,2.0,,1.0,3.0,,3.0,,1.0,,3.0,,,2.0,1.0,,3.0,,1.0,,,,,,
38,2.0,3.0,5.0,,1.0,1.0,,,1.0,2.0,6.0,2.0,,2.0,2.0,2.0,2.0,,1.0,1.0,4.0,,,,,,,,
33,12.0,,5.0,1.0,,,,,,1.0,6.0,1.0,,4.0,1.0,1.0,2.0,3.0,,10.0,13.0,1.0,5.0,,,,,,
161,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,
14,6.0,,,,,,,,,,7.0,,4.0,11.0,11.0,,,9.0,,19.0,33.0,1.0,5.0,,,,,,
194,2.0,,,,,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,2.0,4.0,,,,,,,,
193,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,
108,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,2.0,1.0,,,,,,,
16,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
99,8.0,,,2.0,,,,,1.0,,4.0,1.0,6.0,23.0,26.0,,,9.0,5.0,27.0,43.0,2.0,11.0,2.0,,,,,
93,15.0,,,5.0,,5.0,,,2.0,,5.0,1.0,,5.0,12.0,,,7.0,4.0,23.0,38.0,2.0,10.0,,,,,,
196,3.0,,,,,,,1.0,,,1.0,,1.0,2.0,4.0,1.0,,,,3.0,5.0,,1.0,,,,,,
52,7.0,,1.0,1.0,1.0,3.0,,,1.0,,2.0,,,3.0,3.0,,1.0,2.0,1.0,7.0,7.0,,6.0,,,,,,
96,11.0,,1.0,1.0,,6.0,,,3.0,,9.0,1.0,2.0,6.0,4.0,,4.0,5.0,1.0,24.0,31.0,3.0,16.0,1.0,,,,,
12,7.0,,,3.0,,,,,,,15.0,,2.0,4.0,4.0,,,1.0,1.0,1.0,7.0,9.0,,1.0,,,,,
74,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
65,16.0,1.0,3.0,1.0,,,,3.0,1.0,1.0,4.0,,14.0,9.0,14.0,2.0,,2.0,5.0,8.0,24.0,1.0,1.0,,,,,,
64,5.0,,,2.0,,,,,,1.0,2.0,2.0,,5.0,3.0,3.0,,1.0,2.0,,2.0,2.0,,,,,,,
201,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,3.0,2.0,1.0,,,,,,
80,10.0,,1.0,2.0,,,,,,1.0,2.0,,3.0,12.0,6.0,,1.0,1.0,,7.0,10.0,,3.0,,,,,,
26,9.0,,,3.0,,3.0,,1.0,4.0,1.0,15.0,2.0,2.0,5.0,10.0,,,8.0,5.0,3.0,14.0,5.0,7.0,,,,,,
117,8.0,7.0,10.0,5.0,3.0,9.0,,2.0,,2.0,16.0,3.0,9.0,5.0,3.0,4.0,1.0,1.0,5.0,8.0,17.0,,5.0,1.0,,,,,
154,7.0,1.0,,3.0,,5.0,,1.0,,4.0,9.0,1.0,3.0,5.0,7.0,,1.0,5.0,4.0,1.0,4.0,12.0,1.0,,,,,,
18,3.0,,,1.0,,1.0,,,1.0,,2.0,1.0,,,,,,1.0,1.0,1.0,7.0,2.0,,,,,,,
95,12.0,2.0,1.0,,,,,,4.0,,4.0,2.0,,3.0,4.0,1.0,,3.0,3.0,11.0,16.0,1.0,5.0,,,,,,
86,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
43,2.0,,,2.0,,,,1.0,1.0,,6.0,1.0,,1.0,3.0,,,1.0,1.0,,1.0,2.0,,,,,,,
89,6.0,,1.0,1.0,,1.0,,,,,2.0,,1.0,3.0,8.0,,1.0,6.0,4.0,3.0,8.0,3.0,,,,,,,
97,20.0,,,3.0,,3.0,,,1.0,,22.0,2.0,11.0,23.0,33.0,,1.0,7.0,8.0,5.0,61.0,10.0,5.0,5.0,,,,,
69,1.0,,,,,,,,,,1.0,1.0,1.0,,2.0,,,,,,3.0,4.0,2.0,,,,,,
198,1.0,,,,,,,,,,,,2.0,1.0,2.0,,,1.0,,1.0,10.0,,,,,,,,
152,1.0,,,2.0,,,,,,,,,1.0,,,,,1.0,,,1.0,2.0,,,,,,,
172,7.0,,1.0,3.0,,3.0,,,,,,,1.0,7.0,5.0,,,6.0,3.0,6.0,12.0,1.0,,,,,,,
209,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
206,1.0,,2.0,1.0,1.0,1.0,,1.0,,,3.0,,1.0,2.0,5.0,1.0,,2.0,1.0,7.0,12.0,1.0,7.0,,,,,,
147,5.0,1.0,1.0,15.0,,10.0,,,,3.0,2.0,3.0,6.0,2.0,3.0,,1.0,1.0,3.0,,6.0,5.0,3.0,,,,,,
212,1.0,,,,,,,,,,,,1.0,3.0,4.0,,,,1.0,2.0,1.0,,,,,,,,
31,7.0,,6.0,,,1.0,,1.0,1.0,2.0,3.0,,,3.0,1.0,1.0,,2.0,,4.0,9.0,,4.0,,,,,,
144,2.0,,,1.0,,1.0,,,3.0,,7.0,2.0,3.0,,12.0,,,2.0,,2.0,22.0,1.0,6.0,,,,,,
36,6.0,,3.0,,,3.0,,,1.0,,5.0,4.0,1.0,2.0,2.0,,,3.0,1.0,4.0,9.0,1.0,1.0,,,,,,
35,9.0,2.0,2.0,1.0,,2.0,,2.0,1.0,1.0,8.0,1.0,,3.0,6.0,3.0,,4.0,1.0,8.0,20.0,4.0,7.0,,,,,,
32,1.0,,,2.0,,,,,1.0,1.0,4.0,1.0,2.0,,,,,,,,4.0,,2.0,1.0,,,,,
130,4.0,,,1.0,,,,,,,,,1.0,4.0,2.0,,,7.0,,6.0,9.0,3.0,,,,,,,
157,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,
27,9.0,,,,,2.0,,1.0,,2.0,2.0,,2.0,4.0,8.0,,,6.0,6.0,,7.0,10.0,1.0,,,,,,
197,1.0,,1.0,1.0,,,,,,,2.0,,2.0,5.0,6.0,,,,,7.0,8.0,2.0,5.0,,,,,,
213,3.0,,1.0,2.0,,,,,,,,1.0,,3.0,2.0,,,,,2.0,3.0,1.0,1.0,,,,,,
91,2.0,,,1.0,,,,,,,2.0,2.0,2.0,1.0,,,,,,,8.0,2.0,,,,,,,
140,4.0,,,7.0,,2.0,,,3.0,,10.0,1.0,3.0,3.0,3.0,,,2.0,1.0,3.0,7.0,10.0,7.0,1.0,,,,,
104,4.0,,1.0,,,2.0,,,,,2.0,,2.0,5.0,4.0,1.0,1.0,3.0,1.0,5.0,8.0,,2.0,,,,,,
11,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,4.0,1.0,,,,,,,
77,2.0,,,,,,,,,,2.0,2.0,,2.0,,,,,,2.0,3.0,,,,,,,,
190,2.0,,1.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,
222,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,
28,4.0,,,,,,,,,,,,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,5.0,3.0,2.0,,,,,,
162,1.0,,,1.0,,,,,,,,,,2.0,,,,1.0,,,1.0,7.0,,,,,,,
79,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
109,1.0,,2.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,
94,2.0,,,,,1.0,,,,,3.0,1.0,5.0,1.0,3.0,,1.0,,,,7.0,2.0,1.0,1.0,,,,,
205,1.0,,1.0,,,,,,,,3.0,,1.0,3.0,1.0,,,1.0,,2.0,4.0,1.0,1.0,,,,,,
210,1.0,,,,,,,,,,4.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,
203,,,2.0,1.0,1.0,1.0,,,,1.0,,,,1.0,3.0,2.0,,1.0,,,12.0,4.0,4.0,1.0,,,,,
149,,,1.0,,,1.0,,,,,,3.0,3.0,,,,,,1.0,,,1.0,,1.0,,,,,
