,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
134,16.0,2.0,1.0,6.0,,1.0,1.0,3.0,2.0,,7.0,8.0,43.0,16.0,24.0,,,13.0,12.0,7.0,10.0,4.0,1.0,3.0,,,,,
25,61.0,41.0,52.0,16.0,29.0,131.0,9.0,13.0,3.0,24.0,23.0,31.0,24.0,12.0,43.0,9.0,5.0,50.0,21.0,16.0,42.0,64.0,9.0,4.0,1.0,,,,
1,657.0,434.0,442.0,570.0,538.0,488.0,78.0,133.0,153.0,326.0,1098.0,688.0,1531.0,840.0,1415.0,125.0,145.0,570.0,576.0,496.0,961.0,622.0,348.0,202.0,64.0,43.0,,,
17,162.0,360.0,348.0,358.0,400.0,316.0,16.0,57.0,33.0,257.0,406.0,404.0,626.0,179.0,421.0,114.0,22.0,181.0,312.0,38.0,106.0,224.0,30.0,61.0,56.0,38.0,,,
21,107.0,195.0,205.0,229.0,221.0,204.0,5.0,18.0,38.0,162.0,266.0,286.0,395.0,142.0,273.0,69.0,15.0,111.0,167.0,57.0,145.0,149.0,66.0,50.0,10.0,5.0,,,
131,139.0,306.0,372.0,254.0,299.0,176.0,14.0,47.0,36.0,187.0,329.0,323.0,685.0,144.0,381.0,104.0,19.0,166.0,298.0,57.0,118.0,116.0,45.0,74.0,54.0,38.0,,,
3,97.0,48.0,45.0,144.0,30.0,37.0,9.0,18.0,15.0,20.0,219.0,55.0,150.0,104.0,138.0,10.0,24.0,51.0,35.0,53.0,161.0,300.0,30.0,12.0,2.0,2.0,,,
128,284.0,80.0,77.0,96.0,45.0,66.0,20.0,41.0,101.0,17.0,256.0,102.0,401.0,384.0,524.0,11.0,67.0,182.0,92.0,302.0,501.0,75.0,171.0,98.0,4.0,2.0,,,
159,20.0,5.0,8.0,3.0,6.0,2.0,2.0,4.0,3.0,1.0,3.0,,18.0,4.0,14.0,1.0,2.0,10.0,8.0,5.0,14.0,2.0,1.0,1.0,,,,,
168,119.0,49.0,41.0,77.0,43.0,51.0,5.0,20.0,56.0,46.0,134.0,93.0,401.0,214.0,351.0,8.0,26.0,129.0,130.0,135.0,211.0,30.0,76.0,75.0,6.0,5.0,,,
124,15.0,4.0,9.0,7.0,5.0,4.0,2.0,4.0,3.0,2.0,16.0,3.0,32.0,46.0,49.0,2.0,4.0,17.0,6.0,24.0,25.0,8.0,8.0,14.0,1.0,,,,
72,27.0,9.0,9.0,4.0,2.0,8.0,,4.0,1.0,2.0,8.0,7.0,27.0,23.0,32.0,,6.0,16.0,12.0,16.0,37.0,9.0,8.0,6.0,,,,,
22,202.0,92.0,105.0,107.0,155.0,80.0,35.0,40.0,46.0,55.0,236.0,152.0,487.0,338.0,522.0,18.0,37.0,176.0,149.0,176.0,264.0,81.0,76.0,74.0,15.0,7.0,,,
6,209.0,52.0,41.0,56.0,48.0,77.0,8.0,25.0,62.0,26.0,142.0,54.0,140.0,136.0,205.0,10.0,47.0,110.0,43.0,144.0,250.0,87.0,80.0,31.0,1.0,1.0,,,
126,425.0,34.0,4.0,160.0,2.0,101.0,27.0,50.0,77.0,30.0,493.0,126.0,435.0,423.0,609.0,12.0,101.0,287.0,196.0,327.0,782.0,354.0,231.0,75.0,,,,,
5,319.0,157.0,174.0,90.0,121.0,85.0,14.0,48.0,89.0,79.0,277.0,60.0,169.0,192.0,260.0,42.0,55.0,141.0,53.0,204.0,378.0,104.0,131.0,46.0,9.0,6.0,,,
158,81.0,17.0,11.0,15.0,6.0,22.0,1.0,4.0,21.0,8.0,27.0,15.0,32.0,41.0,59.0,1.0,20.0,23.0,9.0,53.0,91.0,19.0,21.0,7.0,,,,,
192,74.0,25.0,13.0,20.0,13.0,19.0,3.0,10.0,23.0,11.0,50.0,21.0,62.0,38.0,66.0,3.0,16.0,26.0,14.0,45.0,75.0,18.0,17.0,10.0,,,,,
20,21.0,7.0,6.0,7.0,4.0,5.0,1.0,3.0,5.0,3.0,11.0,5.0,22.0,17.0,28.0,5.0,2.0,7.0,7.0,16.0,30.0,5.0,10.0,6.0,1.0,1.0,,,
146,5.0,,1.0,7.0,2.0,,2.0,,,,16.0,8.0,107.0,11.0,32.0,,,,13.0,8.0,3.0,4.0,,12.0,,,,,
30,121.0,43.0,41.0,84.0,44.0,105.0,15.0,12.0,31.0,30.0,140.0,112.0,287.0,107.0,226.0,6.0,24.0,87.0,92.0,94.0,166.0,158.0,78.0,37.0,,,,,
78,117.0,80.0,78.0,234.0,76.0,93.0,11.0,21.0,34.0,51.0,212.0,202.0,593.0,170.0,385.0,10.0,11.0,191.0,235.0,79.0,236.0,169.0,70.0,74.0,8.0,7.0,,,
15,74.0,24.0,27.0,50.0,20.0,45.0,10.0,9.0,13.0,18.0,84.0,53.0,146.0,69.0,150.0,9.0,13.0,95.0,78.0,26.0,74.0,82.0,19.0,21.0,1.0,2.0,,,
108,2.0,,,11.0,,,,,,,1.0,2.0,2.0,,,,1.0,,,,,2.0,,1.0,,,,,
148,13.0,14.0,4.0,2.0,6.0,2.0,10.0,11.0,2.0,2.0,19.0,5.0,6.0,7.0,12.0,1.0,4.0,1.0,1.0,3.0,6.0,2.0,1.0,2.0,,,,,
9,197.0,176.0,140.0,143.0,223.0,138.0,19.0,51.0,43.0,134.0,220.0,186.0,229.0,133.0,224.0,38.0,50.0,132.0,105.0,66.0,120.0,94.0,47.0,22.0,29.0,17.0,,,
67,9.0,,,,,2.0,15.0,7.0,,,4.0,,,2.0,5.0,,,,,1.0,2.0,,,,,,,,
13,102.0,123.0,124.0,151.0,201.0,142.0,13.0,27.0,12.0,121.0,137.0,122.0,182.0,90.0,200.0,43.0,18.0,166.0,130.0,24.0,71.0,179.0,24.0,13.0,7.0,5.0,,,
